date,co,no2,o3,pm10,pm25,so2
2016-09-22,483.5,11.9,19.6,18.4,20.5,6.63
2016-09-23,373.0,8.66,23.2,8.83,13.27,6.2
2016-09-24,467.5,7.52,18.7,9.55,15.774999999999999,6.44
2016-09-25,309.0,7.49,28.0,16.1,17.15,3.8
2016-09-26,662.5,13.2,14.6,28.9,31.65,7.74
2016-09-27,565.5,15.3,12.3,50.1,35.55,6.21
2016-09-28,684.0,15.8,,73.9,46.0,4.22
2016-09-29,676.5,13.8,32.1,69.3,48.849999999999994,5.65
2016-09-30,873.0,13.2,43.9,63.7,39.95,3.48
2016-10-01,559.5,8.83,29.2,19.9,25.1,8.51
2016-10-02,678.5,11.0,38.2,35.0,26.4,6.84
2016-10-03,678.0,15.7,35.6,49.0,34.400000000000006,8.85
2016-10-04,866.0,12.9,30.5,34.4,25.25,3.58
2016-10-05,489.0,10.1,23.8,18.5,16.475,7.26
2016-10-06,426.5,10.9,22.8,31.2,18.245,6.05
2016-10-07,525.5,11.7,28.8,34.3,23.4,1.62
2016-10-08,410.5,15.8,22.5,18.8,22.15,11.8
2016-10-09,449.0,14.7,,28.0,32.75,3.6
2016-10-10,557.0,19.4,,73.1,45.85,9.19
2016-10-11,678.0,17.2,,88.7,57.2,4.59
2016-10-12,867.0,27.2,,95.7,59.3,3.72
2016-10-13,855.0,42.1,81.7,111.0,62.8,5.04
2016-10-14,877.0,48.2,75.4,107.0,56.7,7.08
2016-10-15,829.0,41.2,70.6,111.0,58.75,7.48
2016-10-16,840.0,35.3,86.2,107.0,66.45,9.29
2016-10-17,840.5,39.7,55.4,101.0,67.35,6.61
2016-10-18,785.5,40.6,75.8,112.0,74.75,6.93
2016-10-19,848.0,35.8,83.5,112.0,77.85,6.83
2016-10-20,1125.0,48.5,68.3,101.0,80.65,8.74
2016-10-21,1190.0,44.7,73.9,103.0,101.95,6.94
2016-10-22,866.0,44.3,70.9,104.0,92.9,10.7
2016-10-23,944.5,43.8,74.3,105.0,75.55,7.13
2016-10-24,957.0,37.7,65.6,101.0,79.25,8.67
2016-10-25,1002.5,52.2,7.52,94.0,93.5,1.93
2016-10-26,708.0,44.7,90.9,111.0,68.25,6.61
2016-10-27,687.5,42.0,78.6,112.0,64.9,7.12
2016-10-28,851.0,47.5,110.0,106.0,73.94999999999999,10.7
2016-10-29,924.5,48.1,87.3,98.3,87.1,12.2
2016-10-30,747.0,35.2,40.8,112.0,93.6,8.75
2016-10-31,733.0,25.5,23.5,67.4,65.05,4.23
2016-11-01,688.5,32.1,79.7,110.0,67.25,7.8
2016-11-02,738.5,35.0,101.0,110.0,78.9,11.2
2016-11-03,596.5,28.8,68.0,112.0,75.05,5.74
2016-11-04,571.0,26.1,71.7,98.0,58.2,6.43
2016-11-05,728.5,33.9,70.5,106.0,80.3,9.79
2016-11-06,782.0,38.9,78.3,105.0,86.35,9.3
2016-11-07,1290.0,47.4,71.8,114.0,72.85,5.96
2016-11-08,1105.5,53.9,49.7,103.0,74.2,16.4
2016-11-09,1015.5,47.2,56.7,100.0,79.7,19.8
2016-11-10,1056.0,49.0,81.2,104.0,85.4,16.6
2016-11-11,1488.5,17.9,83.5,102.0,86.65,23.7
2016-11-12,1131.0,0.453,115.0,98.3,87.5,14.1
2016-11-13,919.0,0.24,123.0,104.0,84.5,11.5
2016-11-14,829.0,0.475,85.4,104.0,87.2,14.8
2016-11-15,757.5,0.423,80.5,119.0,80.65,14.5
2016-11-16,829.0,26.6,121.0,94.0,83.65,13.1
2016-11-17,757.0,67.1,139.0,94.0,85.0,20.3
2016-11-18,688.0,79.2,143.0,112.0,81.4,19.0
2016-11-19,937.0,91.8,74.2,100.0,82.35,16.0
2016-11-20,1028.0,86.1,83.0,105.0,78.8,17.1
2016-11-21,903.0,67.0,62.5,113.0,72.6,16.2
2016-11-22,1017.5,69.0,45.45,99.6,74.65,16.0
2016-11-23,961.5,70.6,53.75,99.6,60.7,15.5
2016-11-24,807.0,63.7,21.9,122.0,90.45,4.56
